"id","v1","v2","v3"
"A1",-0.673861569433672,-2.08091611535993,-1.47888885342305
"A2",0.291556151818007,-0.433978702648299,0.0230090762830979
"A3",-0.673861569433672,-0.155924334268413,-0.178245246297526
"A4",0.838626193860625,1.17018111492797,-0.0791199829369202
"A5",0.291556151818007,0.52851718789746,-1.58101791264307
"A6",-0.77040334155884,-1.35369699805869,-0.478624832238756
"A7",-0.995667476517565,-0.476756297783666,0.122134339643704
"A8",-1.31747338360146,0.0365748438407387,-0.878129681540592
"A9",-0.673861569433672,-1.18258661751722,-0.0791199829369202
"A10",-0.448597434474947,-0.177313131836097,-0.878129681540592
"A11",-0.448597434474947,0.678238770871244,0.0230090762830979
"A12",-1.09220924864273,0.635461175735878,-0.478624832238756
"A13",0.0984726075676712,-0.797588261298918,-0.577750095599362
"A14",-0.545139206600115,-0.177313131836097,0.122134339643704
"A15",-0.77040334155884,-0.433978702648299,0.422513925584934
"A16",-1.09220924864273,-1.33230820049101,-0.98025874076061
"A17",0.516820286776732,0.0365748438407387,-0.0791199829369202
"A18",-1.09220924864273,0.95629313925113,0.623768248165558
"A19",-0.77040334155884,-0.968698641840387,-0.577750095599362
"A20",3.41307345053177,0.0365748438407387,1.72315753271046
"B1",1.8040439151123,-1.18258661751722,-1.37976359006245
"B2",-0.545139206600115,0.143518831679156,-1.68014317600368
"B3",-0.995667476517565,0.421573200059042,0.122134339643704
"B4",-0.223333299516222,-0.433978702648299,-0.779004418179986
"B5",-1.1887510207679,0.95629313925113,0.623768248165558
"B6",0.0984726075676712,1.17018111492797,0.422513925584934
"B7",-0.866945113684007,-1.82425054454773,1.122398360828
"B8",-0.673861569433672,0.100741236543789,0.122134339643704
"B9",-0.030249755265886,-0.113146739133046,-0.478624832238756
"B10",0.742084421735457,-0.690644273460501,1.92441185529108
"B11",-0.545139206600115,1.44823548330785,0.122134339643704
"B12",-0.352055662349779,0.100741236543789,-0.277370509658132
"B13",-0.126791527391054,-0.327034714809881,-1.07938400412122
"B14",-0.673861569433672,0.271851617085258,-0.37949956887815
"B15",-0.352055662349779,-0.605089083189767,0.22125960300431
"B16",2.22239159432136,2.08989941033836,0.323388662224328
"B17",0.0984726075676712,-2.46591447157823,-0.37949956887815
"B18",1.90058568723747,1.17018111492797,-0.178245246297526
"B19",-0.866945113684007,0.378795604923675,-2.07964802530551
"B20",-0.545139206600115,1.17018111492797,-1.98052276194491
"C1",0.742084421735457,-0.647866678325134,1.42277794676923
"C2",-0.673861569433672,-0.177313131836097,-0.878129681540592
"C3",1.38569623590324,0.678238770871244,0.623768248165558
"C4",1.06389032881935,0.378795604923675,2.12566617787171
"C5",-0.448597434474947,0.635461175735878,0.0230090762830979
"C6",-0.030249755265886,-1.76008415184468,-2.58128193382736
"C7",-0.545139206600115,-0.476756297783666,-1.07938400412122
"C8",0.291556151818007,1.59795706628164,-0.878129681540592
"C9",0.838626193860625,0.314629212220625,0.22125960300431
"C10",0.195014379692839,-0.540922690486716,0.122134339643704
"C11",1.38569623590324,1.59795706628164,1.02327309746739
"C12",-0.448597434474947,-0.690644273460501,-0.779004418179986
"C13",0.0984726075676712,-0.433978702648299,-1.68014317600368
"C14",-1.1887510207679,-0.0062027512946282,-0.0791199829369202
"C15",0.838626193860625,0.100741236543789,1.42277794676923
"C16",-0.448597434474947,-0.327034714809881,0.22125960300431
"C17",-0.126791527391054,-0.647866678325134,-0.878129681540592
"C18",1.48223800802841,0.742405163574295,-0.67987915481938
"C19",-1.09220924864273,0.592683580600511,-0.67987915481938
"C20",-0.545139206600115,1.31990269790175,0.722893511526164
"D1",-0.545139206600115,-0.540922690486716,-0.178245246297526
"D2",-0.448597434474947,-1.24675301022027,-0.478624832238756
"D3",-0.866945113684007,-0.391201107512932,1.32365268340862
"D4",-0.352055662349779,-0.0062027512946282,0.0230090762830979
"D5",-0.866945113684007,-0.220090726971463,0.52163918894554
"D6",0.195014379692839,-0.968698641840387,0.0230090762830979
"D7",-0.866945113684007,-0.0703691439976789,-0.478624832238756
"D8",0.420278514651564,-0.540922690486716,0.623768248165558
"D9",-1.31747338360146,2.8171185276396,0.323388662224328
"D10",-0.448597434474947,-0.647866678325134,-0.478624832238756
"D11",-0.673861569433672,0.678238770871244,1.52490700598925
"D12",0.516820286776732,-0.391201107512932,1.72315753271046
"D13",0.291556151818007,0.89212674654808,-0.779004418179986
"D14",1.06389032881935,-0.968698641840387,0.924147834106788
"D15",-0.995667476517565,-0.0489803464299951,1.72315753271046
"D16",0.516820286776732,0.806571556277346,-0.0791199829369202
"D17",-0.545139206600115,0.16490762924684,2.02353711865169
"D18",-1.31747338360146,-0.647866678325134,-0.178245246297526
"D19",1.25697387306969,1.02045953195418,1.02327309746739
"D20",0.935167965985793,1.10601472222491,0.122134339643704
"E1",-0.223333299516222,-1.76008415184468,-0.178245246297526
"E2",1.70750214298714,2.08989941033836,0.52163918894554
"E3",-0.030249755265886,-0.605089083189767,0.323388662224328
"E4",-0.545139206600115,-0.0489803464299951,-0.37949956887815
"E5",0.420278514651564,0.378795604923675,2.42604576381294
"E6",1.57877978015358,1.23434750763102,1.32365268340862
"E7",-0.545139206600115,0.16490762924684,-0.878129681540592
"E8",4.37849117178345,2.88128492034265,1.42277794676923
"E9",-0.866945113684007,-0.476756297783666,1.52490700598925
"E10",-0.673861569433672,1.3840690906048,1.42277794676923
"E11",0.6133620589019,0.207685224382207,-0.37949956887815
"E12",0.0984726075676712,-0.540922690486716,-0.878129681540592
"E13",0.935167965985793,-0.26286832210683,-0.577750095599362
"E14",0.6133620589019,-0.26286832210683,0.52163918894554
"E15",-0.77040334155884,-0.26286832210683,-1.37976359006245
"E16",1.25697387306969,-0.904532249137336,-0.37949956887815
"E17",0.6133620589019,-0.177313131836097,0.122134339643704
"E18",-0.545139206600115,-0.712033071028185,-0.779004418179986
"E19",0.516820286776732,0.806571556277346,-1.17850926748182
"E20",-0.223333299516222,-2.46591447157823,1.32365268340862
